Company Name,CityU URL
Begain,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/begain
Belun Technology Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/beluntech
Bettery,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bettery
BioInsight Innovations,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinsight-innovations
Bioinspired Topological Skin,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bioinspired-topological-skin
Biolot,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biolot
BioMetallica,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biometallica
BITHON,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bithon
BIY Smoothie Love,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/biy-smoothie-love
Blockchain Credit Platform,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blockchain-credit-platform
Blook,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/blook
BNET-TECH Company Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/bnet-tech
Bookit,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bookit
Botanique,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/botanique
BOXS Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/boxs-limited
Boxtalk Media Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/boxtalk-media-limited
BridgeImpact,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bridgeimpact
BUCHA LIMITED – BUCHA KING,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bucha-limited-bucha-king
Bud Silver Tech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/bud-silver-tech
BudsAlike,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/budsalike
Building a leading Asia Retailtainment Franchise,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/building-leading-asia-retailtainment-franchise
Building Useable and Smarter Security Services for FinTech,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/useable-and-smarter-security-services-for-fintech
BusinessPsyche,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/businesspsyche
Call Call Taxi Hailing System,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/call-call-taxi-hailing-system
Cally Technology Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/cally-technology
Can-Cure,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/can-cure
Canpanion Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/canpanion-group-limited
Carful Group Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/carful-group-limited
CASHON,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cashon
Castfact Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/castfact-limited
Cat Limited,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/cattech
Catnip,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/catnip
Cell-based bioassay platform for rapid toxicity testing,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cell-based-bioassay-platform-for-rapid-toxicity-testing
Central Dogma,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/central-dogma
CerebralCare,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cerebralcare
Certifi,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/certifi
CF Group,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/cf-group
CHAKFOTO Technology Limited Company,https://www.cityu.edu.hk/hktech300/start-ups/angel-fund-teams/chakfoto-technology-limited-company
ChatChatBuy,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/chatchatbuy
CheckMate,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/checkmate
CheckPoint,https://www.cityu.edu.hk/hktech300/start-ups/seed-fund-teams/checkpoint
